"","track_id","artists","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre","multiple_artists"
"11","5pq4v03P5PxMcnCagg4S3Z","Boyce Avenue","Cover Sessions, Vol. 4","In Case You Didn’t Know",60,225165,FALSE,0.633,0.299,"B",-7.798,"major",0.0353,0.833,0,0.109,0.341,147.549,"4","acoustic",FALSE
"12","2D9w6sabdMCLSheW5aegwO","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","Absolutely Zero",20,339196,FALSE,0.521,0.495,"F",-7.756,"major",0.027,0.128,0,0.296,0.116,135.061,"4","acoustic",FALSE
"13","1Qo3taHLFSQpzLm5Sty7M4","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","Sleep All Day",22,296843,FALSE,0.616,0.81,"D",-6.51,"major",0.0668,0.369,0,0.107,0.79,97.994,"4","acoustic",FALSE
"14","71M4QMn8nrok1KFVXwEEyU","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","You and I Both",35,218240,FALSE,0.615,0.812,"G",-6.573,"major",0.0458,0.184,0,0.328,0.74,98.954,"4","acoustic",FALSE
"15","1uSuY2qLCbx1QB7oPUVhFG","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","Who Needs Shelter",22,192260,FALSE,0.514,0.569,"F#/Gb",-7.866,"minor",0.03,0.601,2.21e-06,0.218,0.264,142.597,"4","acoustic",FALSE
"16","6twvFrIoIINH8UW8EB8OnU","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","No Stopping Us",19,198855,FALSE,0.646,0.836,"C#/Db",-6.203,"major",0.0327,0.301,3.23e-05,0.29,0.727,105.991,"4","acoustic",FALSE
"17","2pelUnMKr07JjJpilj9Yew","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","I'll Do Anything",24,191889,FALSE,0.57,0.711,"A",-4.155,"major",0.0703,0.119,0,0.352,0.648,163.117,"4","acoustic",FALSE
"18","73CbJykoV6WapWGfTeRzTl","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","The Remedy (I Won't Worry)",35,256440,FALSE,0.589,0.867,"A#/Bb",-4.523,"major",0.0385,0.041,0,0.306,0.795,94.52,"4","acoustic",FALSE
"19","3ixLIO5BsTmic0Pp27FaPY","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","Too Much Food",20,221425,FALSE,0.626,0.926,"D",-4.441,"major",0.0477,0.0265,0,0.159,0.548,99.997,"4","acoustic",FALSE
"20","5ZetMq21bMQN5oo4TtdOxu","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","The Boy's Gone",18,255047,FALSE,0.686,0.556,"C#/Db",-8.5,"minor",0.0271,0.532,0,0.0922,0.36,112.997,"4","acoustic",FALSE
"21","73oHkllHIT8fdbzpxiXW40","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","On Love, in Sadness",19,208793,FALSE,0.56,0.832,"A",-5.595,"major",0.0352,0.108,0,0.232,0.802,100.957,"4","acoustic",FALSE
"22","4MihgVRpD82EZoT61GW63w","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","Curbside Prophet",23,214552,FALSE,0.619,0.793,"F",-5.964,"major",0.0661,0.263,0,0.0828,0.892,177.991,"4","acoustic",FALSE
"23","1BECZPXBXzobsfmlzj0g3I","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","Tonight, Not Again - Live",19,264280,FALSE,0.56,0.278,"D#/Eb",-12.501,"major",0.0921,0.733,0,0.112,0.594,102.187,"4","acoustic",FALSE
"24","14vExHBkh1prEAN94wZug8","Jason Mraz","Waiting for My Rocket to Come (Expanded Edition)","Tonight, Not Again",18,289041,FALSE,0.595,0.805,"G#/Ab",-7.926,"major",0.0543,0.0167,1.06e-05,0.0691,0.359,102.44,"4","acoustic",FALSE
"25","3g61xRaqII8q1wlQDzv550","Boyce Avenue","Cover Sessions, Vol. 4","Beautiful Soul",62,216612,FALSE,0.483,0.506,"A",-6.058,"major",0.0347,0.394,0,0.0946,0.705,87.337,"4","acoustic",FALSE
"26","3dglCYsVMjPbDlU2CC9Vq7","Jason Mraz","Know.","Let's See What The Night Can Do",53,245186,FALSE,0.392,0.423,"G",-7.813,"major",0.0348,0.27,0,0.117,0.288,113.537,"4","acoustic",FALSE
"27","4cR4nao0hqqBtklQmGVqbe","Boyce Avenue","Cover Sessions, Vol. 3","Thinking out Loud",56,278640,FALSE,0.702,0.326,"C#/Db",-6.638,"major",0.0272,0.705,0,0.168,0.628,79.904,"4","acoustic",FALSE
"28","52J3WARiRHMtXbFXUWrVgu","Boyce Avenue","Cover Sessions, Vol. 6","Someone You Loved",57,182442,FALSE,0.736,0.364,"C#/Db",-5.966,"major",0.0349,0.741,0,0.0932,0.371,110.023,"4","acoustic",FALSE
"29","3M6NL7PxIDZ3ArfPrBUTUP","Days N Daze","Show Me the Blueprints.","Flurry Rush",37,169318,TRUE,0.371,0.674,"A",-3.72,"major",0.0488,0.169,0,0.0889,0.92,87.603,"4","acoustic",FALSE
"30","2Qw1KFrJ1q6qHXxWGh51kC","Boyce Avenue","Cover Sessions, Vol. 3","A Thousand Years",56,263710,FALSE,0.41,0.221,"F",-11.673,"major",0.0315,0.768,0,0.106,0.228,139.529,"3","acoustic",FALSE
"31","4Bo6FwC7Oe9zywSZc6q7hO","Jason Mraz","YES!","Love Someone",59,257173,FALSE,0.582,0.347,"G",-14.769,"major",0.0305,0.317,0.00678,0.111,0.0797,97.957,"4","acoustic",FALSE
"32","6G8xunNOicxhPPq9sG2raG","Boyce Avenue","Cover Sessions, Vol. 6","Hey There Delilah",49,230868,FALSE,0.664,0.319,"C",-8.149,"minor",0.0271,0.862,0,0.121,0.258,105.036,"4","acoustic",FALSE
"33","1MGIxsVtqK2npdPmI8Dj0D","Days N Daze","Rogue Taxidermy","Goodbye Lulu",35,150047,TRUE,0.544,0.839,"F",-8.991,"major",0.0568,0.784,0,0.341,0.967,87.609,"4","acoustic",FALSE
"34","3JKLrIrHpbHtDU1oeYtbYD","Boyce Avenue","Cover Sessions, Vol. 5","Chasing Cars",52,246979,FALSE,0.659,0.331,"A#/Bb",-8.987,"major",0.0321,0.809,0,0.0996,0.0877,105.01,"4","acoustic",FALSE
"35","24Gm1mIhO28NmgT17S95JE","Masaharu Fukuyama","KISSして","KISSして",35,222626,FALSE,0.467,0.851,"F#/Gb",-4.203,"major",0.0526,0.000353,0,0.33,0.644,93.873,"4","acoustic",FALSE
"36","5SgFX13gtlQfsNUpoPshwD","Masaharu Fukuyama","Good night","Good night",35,354213,FALSE,0.522,0.498,"G",-7.247,"major",0.0257,0.0758,1.51e-06,0.25,0.221,145.908,"4","acoustic",FALSE
"37","3XFhSbm8EdZD6Cjrm1dNJQ","Frank Turner","Tape Deck Heart (Deluxe Edition)","Polaroid Picture",33,223015,FALSE,0.564,0.604,"G",-5.055,"major",0.0549,0.0287,4.74e-06,0.108,0.341,113.091,"4","acoustic",FALSE
"38","3IORLAm07yxo4T7B8cRET3","Jason Mraz","Look For The Good","Look For The Good (Single Version)",21,239697,FALSE,0.71,0.615,"C",-8.23,"major",0.133,0.0384,0,0.283,0.746,90.263,"4","acoustic",FALSE
"39","6fPblqm2OhtEKvaUEQzLzJ","Masaharu Fukuyama","残響","ながれ星",33,317400,FALSE,0.474,0.408,"G",-11.42,"major",0.0332,0.603,2.77e-05,0.104,0.238,143.881,"4","acoustic",FALSE
"40","5D6xoqZwDoqRO5V9rNgxFO","Boyce Avenue","Cover Sessions, Vol. 6","Hallelujah",54,267765,FALSE,0.62,0.21,"B",-9.633,"minor",0.0274,0.911,2.22e-06,0.108,0.163,98.558,"3","acoustic",FALSE
"41","3yVSlc3y7YWZPAreTHjH9v","Masaharu Fukuyama","残響","明日の☆SHOW",34,290480,FALSE,0.644,0.603,"A#/Bb",-5.83,"major",0.0263,0.306,0,0.262,0.516,113.413,"4","acoustic",FALSE
"42","5LHruF9uFyPxGpimaknrU8","Boyce Avenue","Cover Sessions, Vol. 4","Love Me Like You Do",55,198218,FALSE,0.45,0.254,"E",-9.873,"major",0.0414,0.827,0,0.204,0.248,92.644,"4","acoustic",FALSE
"43","0IZJR2XrPdWqHdnpaPixw9","Masaharu Fukuyama","SING A SONG","Heart (Original Version)",34,288426,FALSE,0.587,0.842,"E",-6.04,"major",0.0268,0.278,0,0.163,0.693,97.013,"4","acoustic",FALSE
"44","2FSkBDGsqZIxcsnKNgtMLx","Boyce Avenue","Cover Sessions, Vol. 2","Just the Way You Are",55,239573,FALSE,0.531,0.296,"C#/Db",-7.594,"major",0.0304,0.84,0,0.124,0.212,106.359,"4","acoustic",FALSE
"45","2jcDDdBy1foaBC8X9owMrZ","Masaharu Fukuyama","HELLO","HELLO (Original Version)",34,243066,FALSE,0.569,0.861,"C#/Db",-4.547,"minor",0.0406,0.0425,0,0.204,0.511,77.983,"4","acoustic",FALSE
"46","6uZroCk7E7L7RhY7NAvC3Y","Masaharu Fukuyama","IT'S ONLY LOVE","IT'S ONLY LOVE",34,275266,FALSE,0.585,0.734,"A",-5.365,"major",0.032,0.0334,0,0.0934,0.413,117.84,"4","acoustic",FALSE
"47","6ITdND5IQ7lHzjkyJZSt53","Masaharu Fukuyama","虹/ひまわり/それがすべてさ","それがすべてさ",34,330720,FALSE,0.527,0.89,"G",-5.651,"major",0.0665,0.00433,0,0.118,0.425,102.644,"4","acoustic",FALSE
"48","4N1PJshrO7sHB468RoZQjL","Frank Turner","No Man's Land","I Believed You, William Blake",31,215440,FALSE,0.387,0.526,"A",-7.611,"minor",0.0301,0.244,0.000386,0.105,0.334,130.719,"4","acoustic",FALSE
"49","45SbQo5bq8f0hNdB70IyFC","Boyce Avenue","Save Your Tears","Save Your Tears",57,216800,FALSE,0.735,0.275,"G#/Ab",-8.994,"minor",0.0304,0.746,0,0.131,0.294,116.004,"4","acoustic",FALSE
"50","0RRZxVYjfY3jWT4XiYAW7k","Boyce Avenue","Cover Sessions, Vol. 4","Rise",49,202167,FALSE,0.568,0.177,"D",-11.277,"major",0.0374,0.93,0,0.0905,0.354,103.822,"4","acoustic",FALSE
"51","6xMm545wcSYbhNFB2Jr2EP","Boyce Avenue","Wonderful Tonight","Wonderful Tonight",52,220507,FALSE,0.671,0.299,"G",-10.582,"major",0.0284,0.753,1.71e-06,0.0975,0.286,95.008,"4","acoustic",FALSE
"52","2jcdviEbZPIpwM10JBQNYc","Masaharu Fukuyama","Calling","恋人 (Original Version)",33,272773,FALSE,0.649,0.336,"G",-12.053,"major",0.0299,0.27,0,0.137,0.47,71.967,"4","acoustic",FALSE
"53","1BZnc6VaggPnrQyjem5Dpf","Masaharu Fukuyama","Message/今 このひとときが 遠い夢のように","Message (Original Version)",33,256506,FALSE,0.616,0.791,"A",-6.246,"major",0.0293,0.0599,3.97e-06,0.318,0.589,126.764,"4","acoustic",FALSE
"54","0rQ146AWbwiDC1DheKXJxm","Frank Turner","West Coast vs. Wessex","Eat the Meek",31,237093,FALSE,0.486,0.913,"F",-6.416,"major",0.0616,2.45e-05,0.289,0.225,0.334,136.073,"4","acoustic",FALSE
"55","353rT3h7ABEWWBe6Hr7EZD","Days N Daze","The Oogle Deathmachine","Little Blue Pills, Pt. 2",31,265195,TRUE,0.501,0.672,"D",-10.225,"minor",0.0637,0.674,0.000162,0.0674,0.961,122.041,"4","acoustic",FALSE
"56","5hhhrZMKz1NEZM7jRWufbf","Frank Turner","West Coast vs. Wessex","Bob",30,188952,TRUE,0.415,0.713,"C",-5.529,"major",0.0345,0.0555,0,0.0811,0.361,83.69,"3","acoustic",FALSE
"57","7EcFRiCKqijYsuA5UbNnQZ","Frank Turner","West Coast vs. Wessex","Perfect Government",30,146129,TRUE,0.474,0.876,"G",-5.052,"major",0.0341,0.00277,6.15e-06,0.39,0.607,91.948,"4","acoustic",FALSE
"58","5u2HaXFymnYNePtwI5bU3t","Frank Turner","FTHC (Deluxe)","Haven't Been Doing So Well",30,196813,FALSE,0.367,0.892,"D",-3.91,"major",0.133,0.00012,0.000268,0.276,0.799,81.928,"4","acoustic",FALSE
"59","16x2V0ZWoXD7Rjo6bSAoEK","Boyce Avenue","Cover Sessions, Vol. 3","I'll Be There For You (Friends Theme)",45,138201,FALSE,0.473,0.305,"B",-8.48,"minor",0.0311,0.833,0,0.109,0.524,81.153,"4","acoustic",FALSE
"60","76w967eCBrUFBSzef2ExlK","Masaharu Fukuyama","東京にもあったんだ / 無敵のキミ","東京にもあったんだ",31,382786,FALSE,0.376,0.702,"D#/Eb",-5.733,"major",0.0299,0.00373,0.00116,0.138,0.241,134.817,"4","acoustic",FALSE
"61","4kXcndvaQEROosxdcbJqzK","Masaharu Fukuyama","5年モノ","あの夏も 海も 空も",31,322906,FALSE,0.403,0.631,"G",-5.94,"major",0.0356,0.0502,3.97e-05,0.193,0.328,78.522,"4","acoustic",FALSE
"62","2jHEySxCzzODFWmPzt084L","Masaharu Fukuyama","残響","18 ~eighteen~",31,326600,FALSE,0.609,0.76,"C",-5.16,"major",0.0283,0.131,0,0.41,0.44,117.135,"4","acoustic",FALSE
"63","5lQBkoXivgiXqKicR2uaTh","Masaharu Fukuyama","vs.2013 ~知覚と快楽の螺旋~","vs.2013 ~知覚と快楽の螺旋~",32,292493,FALSE,0.403,0.925,"A",-3.166,"major",0.0537,0.000435,0.755,0.323,0.543,169.978,"4","acoustic",FALSE
"64","6VtoP2sJt5oCmPOQIve2sf","Boyce Avenue","Cover Sessions, Vol. 2","Someone Like You",57,276146,FALSE,0.439,0.207,"C#/Db",-9.573,"major",0.0297,0.608,0,0.186,0.264,136.514,"4","acoustic",FALSE
"65","2vOFdBs2kss9U0ezRGTG2E","Days N Daze","Rogue Taxidermy","Remnants of What People Used to Be",30,175046,TRUE,0.5,0.611,"C",-10.826,"major",0.0788,0.834,1.41e-05,0.241,0.894,88.372,"4","acoustic",FALSE
"66","54sN9ILcN1Udqc6au0Rzdw","Masaharu Fukuyama","何度でも花が咲くように私を生きよう","何度でも花が咲くように私を生きよう",31,259493,FALSE,0.441,0.423,"C",-7.572,"major",0.0282,0.839,0.000359,0.122,0.153,88.865,"4","acoustic",FALSE
"67","5mw8Zmzqx3VhxqokFAntGI","Boyce Avenue","Cover Sessions, Vol. 4","Scared to Be Lonely",46,222052,FALSE,0.636,0.169,"B",-11.191,"major",0.035,0.887,0,0.124,0.467,138.236,"4","acoustic",FALSE
"68","7E1Gs6mg3MOERIWo0sglXL","Masaharu Fukuyama","聖域","聖域",31,236853,FALSE,0.368,0.871,"A",-3.032,"minor",0.0661,0.0356,0,0.149,0.636,107.721,"4","acoustic",FALSE
"69","4BguxPKygliNCIkzwWlYxU","Masaharu Fukuyama","Calling","All My Loving (Original Version)",31,245800,FALSE,0.725,0.746,"A",-8.214,"major",0.0338,0.00721,0,0.0575,0.656,102.87,"4","acoustic",FALSE
"70","2f6RlUydW1yTWhcXqaBhA3","Masaharu Fukuyama","想 -new love new world-","想 -new love new world-",31,280546,FALSE,0.595,0.879,"G#/Ab",-4.849,"major",0.0405,0.0319,0,0.344,0.839,124.784,"4","acoustic",FALSE
"71","1GkwSHR74B5DIgnlarTsa9","Days N Daze","Show Me the Blueprints.","Ditches",30,162282,TRUE,0.48,0.77,"A#/Bb",-3.547,"major",0.0542,0.397,0,0.254,0.744,126.225,"4","acoustic",FALSE
"72","02FzDPhxAoCZp6Fz4GzMmL","Days N Daze","Show Me the Blueprints.","Goodbye Lulu Pt.2",30,381910,FALSE,0.389,0.864,"A",-3.218,"major",0.117,0.0362,6.31e-06,0.193,0.548,98.11,"3","acoustic",FALSE
"73","3KkgPBPjplbDy4uKcXNZeu","Days N Daze","Crustfall","Days n Daze of Our Lives",29,196161,TRUE,0.387,0.524,"D#/Eb",-9.633,"major",0.0493,0.777,5.74e-06,0.718,0.858,95.623,"4","acoustic",FALSE
"74","203WkDdprjHpN37QMBCMyJ","Masaharu Fukuyama","HEY!","HEY!",30,347200,FALSE,0.548,0.889,"C",-6.106,"major",0.0309,0.0324,0,0.359,0.789,95.289,"4","acoustic",FALSE
"75","2NLu5wwfHlB4rGTxDYCRk7","Boyce Avenue","Cover Sessions, Vol. 6","Memories",53,197170,FALSE,0.46,0.195,"A#/Bb",-12.093,"major",0.0459,0.867,1.65e-05,0.112,0.384,176.119,"4","acoustic",FALSE
"76","0WWuB1F1H4dr3Bdoe1vtHs","Days N Daze","Rogue Taxidermy","DBS Out",29,127033,TRUE,0.598,0.599,"D#/Eb",-10.265,"major",0.0823,0.326,1.49e-05,0.117,0.94,90.206,"4","acoustic",FALSE
"77","1POSMvQ2TKVN0D7GwOgK0W","Frank Turner","Positive Songs For Negative People","Josephine",28,202400,FALSE,0.442,0.898,"F",-4.662,"major",0.0613,0.000158,4.11e-06,0.1,0.446,144.299,"4","acoustic",FALSE
"78","7wiULYwv85WeChygucbpTF","Boyce Avenue","Careless Whisper","Careless Whisper",46,247805,FALSE,0.698,0.389,"D",-6.246,"minor",0.0321,0.885,0,0.136,0.704,76.897,"4","acoustic",FALSE
"79","7MlPySldFcJ9R3mSFvGV4y","Masaharu Fukuyama","AKIRA","彼方で",29,272320,FALSE,0.459,0.57,"E",-5.672,"major",0.0293,0.199,0,0.137,0.361,72.978,"4","acoustic",FALSE
"80","1K0OGTEEPMRdxFGRt5WYRI","Masaharu Fukuyama","約束の丘","約束の丘",30,326413,FALSE,0.524,0.852,"B",-4.708,"major",0.0298,0.0159,6.35e-06,0.112,0.635,92.748,"4","acoustic",FALSE
"81","4Akic5cb5RHJrTdQZY7AfX","Jason Mraz","Know.","No Plans",46,148000,FALSE,0.491,0.304,"A",-9.379,"major",0.0291,0.5,0,0.0975,0.459,149.288,"4","acoustic",FALSE
"82","414FqRxeG518IkFrmzdQjt","Boyce Avenue","Easy on Me","Easy on Me",52,260040,FALSE,0.586,0.514,"D",-6.267,"major",0.0269,0.56,0.000347,0.122,0.27,142.021,"4","acoustic",FALSE
"83","0RTACXDmdASzBQR1UiSyAZ","Boyce Avenue","One Last Breath","One Last Breath",53,236800,FALSE,0.45,0.335,"D",-6.833,"major",0.0301,0.788,1.66e-06,0.115,0.166,125.484,"4","acoustic",FALSE
"84","6Vn8lTVMjILXQCjZUXS8n4","Jason Mraz","Love Is a Four Letter Word","The Woman I Love",48,190751,FALSE,0.591,0.647,"E",-8.34,"major",0.0277,0.067,6.57e-05,0.231,0.678,79.68,"4","acoustic",FALSE
"85","1PEpGWRE4Tjsk2qy5teW4p","Masaharu Fukuyama","milk tea/美しき花","美しき花",29,330026,FALSE,0.524,0.797,"G",-6.611,"major",0.0298,0.0567,0,0.0796,0.766,105.901,"4","acoustic",FALSE
"86","5bqPeBYkNk9feimSN9N4JY","Days N Daze","The Oogle Deathmachine","Nine on the Bortle",28,269139,FALSE,0.408,0.685,"A",-10.773,"minor",0.0754,0.84,0.0133,0.614,0.905,159.831,"4","acoustic",FALSE
"87","4a7aKxh344UzFEVd0k5lwi","Frank Turner","England Keep My Bones (Deluxe Edition)","Redemption",28,288133,FALSE,0.658,0.678,"E",-6.807,"major",0.0284,0.00897,0,0.0914,0.63,131.976,"4","acoustic",FALSE
"88","348ooLg3LgeDkJVh6zzib8","Frank Turner","England Keep My Bones (Deluxe Edition)","Eulogy",28,94466,FALSE,0.284,0.108,"G",-9.352,"major",0.0473,0.674,4.65e-06,0.204,0.282,148.956,"3","acoustic",FALSE
"89","2BdXf4OpDOw4AvklnAvcsY","Days N Daze","Rogue Taxidermy","Tarnished Ol' Photograph",28,148035,FALSE,0.522,0.403,"F",-10.989,"major",0.0358,0.642,0.00605,0.152,0.621,123.196,"4","acoustic",FALSE
"90","3VyInzFUWWHyYw3xCUUz3M","Frank Turner","FTHC (Deluxe)","Untainted Love",28,174466,TRUE,0.573,0.789,"B",-5.435,"major",0.05,0.000488,0.00965,0.126,0.332,128.077,"4","acoustic",FALSE
"91","1T7Tqsfkz0Ntbwta2hHebY","Days N Daze","Rogue Taxidermy","Fate of a Coward",28,175046,FALSE,0.583,0.534,"D",-11.147,"minor",0.0411,0.569,0,0.351,0.943,123.094,"4","acoustic",FALSE
"92","74ooA3upXyi3AUg9Ndz2Ck","Frank Turner","FTHC (Deluxe)","Non Serviam",27,119946,TRUE,0.455,0.961,"E",-4.527,"minor",0.0824,1.09e-05,0.0131,0.357,0.417,95.069,"4","acoustic",FALSE
"93","7BsxlNsLgCMBNZ9CmAcbfv","Frank Turner","FTHC (Deluxe)","The Gathering",27,159640,TRUE,0.455,0.938,"G",-4.316,"major",0.0756,0.0022,1.21e-05,0.142,0.552,143.887,"4","acoustic",FALSE
"94","1BEf6XRdlqtUctXYEicKbE","Days N Daze","The Oogle Deathmachine","Comfort epershand Control",28,182204,TRUE,0.486,0.423,"A",-11.703,"minor",0.0426,0.784,0,0.32,0.75,127.551,"4","acoustic",FALSE
"95","6nPSj5qcbkm3w2ch9dljk2","Frank Turner","Positive Songs For Negative People","Demons",27,245386,FALSE,0.285,0.938,"E",-5.414,"major",0.0795,0.00145,0.000273,0.387,0.286,159.017,"4","acoustic",FALSE
"96","26TzE0IIiuqPKLaWfcsj4C","Jason Mraz","Now That's What I Call Music 2012-13","I Won’t Give Up",16,240640,FALSE,0.543,0.329,"E",-9.46,"major",0.0449,0.69,0,0.112,0.141,136.549,"3","acoustic",FALSE
"97","1cADd4hbtfYDFesyH8i1eB","Frank Turner","FTHC (Deluxe)","The Work",27,212893,FALSE,0.491,0.913,"C",-4.526,"major",0.0567,1.88e-05,2.26e-06,0.327,0.59,89.987,"4","acoustic",FALSE
"98","6D16aFALxgo3b5Hw7Na1Fw","Days N Daze","Songs We Recorded for Splits","Fall Out",28,214099,TRUE,0.434,0.832,"C",-9.513,"major",0.0716,0.348,3.2e-05,0.158,0.591,93.674,"4","acoustic",FALSE
"99","4FytmtwjnW4GdycPb4TwF0","Boyce Avenue","Cover Sessions, Vol. 4","Perfect",47,257390,FALSE,0.631,0.29,"C#/Db",-9.159,"major",0.0279,0.857,0,0.181,0.398,96.593,"3","acoustic",FALSE
"100","1emx944EiuTphS9qv5mslc","Boyce Avenue","Cover Sessions, Vol. 3","Tears In Heaven",49,280652,FALSE,0.747,0.0926,"G#/Ab",-11.531,"major",0.0308,0.921,0,0.112,0.328,77.94,"4","acoustic",FALSE
"101","395XDt5vt8DKguJDjGtYLU","Jason Mraz","Love Is a Four Letter Word","Living in the Moment",48,235080,FALSE,0.65,0.628,"G",-7.16,"major",0.0232,0.0483,0,0.119,0.7,84.141,"4","acoustic",FALSE
"102","76kBXoobhmMlzN5mS1CD3b","Days N Daze","Ward Off the Vultures","Torches Are Calling",27,70506,TRUE,0.389,0.494,"A",-10.78,"major",0.131,0.186,0.000138,0.0557,0.909,86.872,"4","acoustic",FALSE
"103","1k1jxdrfofuDZmAuLtyq6m","Frank Turner","FTHC (Deluxe)","Miranda",26,240866,FALSE,0.524,0.578,"G",-5.974,"major",0.0267,0.000971,6.55e-06,0.326,0.29,75.032,"4","acoustic",FALSE
"104","4ckCgKE0aIy4TNSGdm36QT","Frank Turner","The Second Three Years","Linoleum",26,88626,FALSE,0.548,0.666,"E",-2.277,"major",0.036,0.281,0,0.231,0.582,98.806,"4","acoustic",FALSE
"105","5Jx83G7IadblXTyvMMo7Uu","Days N Daze","Rogue Taxidermy","Perfectly Dysfunctional",27,207151,TRUE,0.316,0.879,"G",-9.414,"minor",0.113,0.827,0.00239,0.278,0.647,88.614,"4","acoustic",FALSE
"106","3TnFkFik1REVmx8V58n6Uu","Masaharu Fukuyama","HUMAN","恋の魔力",27,278613,FALSE,0.495,0.865,"G",-3.21,"major",0.0414,0.000791,6.68e-06,0.247,0.881,156.924,"4","acoustic",FALSE
"107","1lw2doNDEtF7vZUp966kSN","Days N Daze","Night Gaunts / Days N Daze Split","Mosquitoes",27,163013,TRUE,0.638,0.543,"D",-9.678,"major",0.0432,0.636,0.01,0.355,0.922,140.864,"4","acoustic",FALSE
"108","4ysmODoF5WXlBlGkyWfu7J","Frank Turner","Tape Deck Heart (Deluxe Edition)","We Shall Not Overcome",26,232815,FALSE,0.654,0.834,"A",-4.436,"major",0.0425,0.0172,0.000229,0.089,0.904,139.377,"4","acoustic",FALSE
"109","3mlAmyipgcFX5F3EXllJh2","Boyce Avenue","Cover Sessions, Vol. 5","Bleeding Love",56,210186,FALSE,0.737,0.295,"C",-7.179,"major",0.0332,0.83,0,0.0984,0.369,107.107,"4","acoustic",FALSE
"110","2o1RtJhMTPDW6A3SzNptli","Days N Daze","Split EP","Little Blue Pills, Pt..3",27,149214,TRUE,0.565,0.611,"F",-9.124,"major",0.0676,0.345,2.46e-05,0.0527,0.914,137.289,"4","acoustic",FALSE
"111","5KcGMnoxVuAUexDFoOHROL","Days N Daze","Show Me the Blueprints.","None Exempt",27,230691,TRUE,0.425,0.752,"A",-4.649,"minor",0.0398,0.305,0,0.157,0.844,105.466,"4","acoustic",FALSE
